date,month,raw_day,year
2020-01-25,January,25-26,2020
2020-01-26,January,26-27,2020
2020-01-26,January,26-27,2020
2020-01-27,January,27-28,2020
2020-01-28,January,28-29,2020
2020-01-28,January,28-29,2020
2020-01-30,January,30-31,2020
2020-03-15,March,15-16*,2020
2020-03-16,March,16-17*,2020
2020-03-16,March,16-17*,2020
2020-03-17,March,17-18*,2020
2020-03-17,March,17-18* (cancelled),2020
2020-03-18,March,18-19*,2020
2020-03-19,March,19-20*,2020
2020-03-21,March,21-22*,2020
2020-04-27,April,27-28,2020
2020-04-27,April,27-28,2020
2020-04-28,April,28-29,2020
2020-04-28,April,28-29,2020
2020-05-02,May,2-3,2020
2020-05-03,May,3-4,2020
2020-05-06,May,6-7,2020
2020-06-08,June,8-9*,2020
2020-06-09,June,9-10*,2020
2020-06-11,June,11-12*,2020
2020-06-13,June,13-14*,2020
2020-06-14,June,14-15*,2020
2020-06-15,June,15-16*,2020
2020-06-16,June,16-17*,2020
2020-06-17,June,17-18*,2020
2020-07-25,July,25-26,2020
2020-07-26,July,26-27,2020
2020-07-27,July,27-28,2020
2020-07-27,July,27-28,2020
2020-07-28,July,28-29,2020
2020-07-28,July,28-29,2020
2020-07-29,July,29-30,2020
2020-07-30,July,30-31,2020
2020-09-14,September,14-15*,2020
2020-09-15,September,15-16*,2020
2020-09-15,September,15-16*,2020
2020-09-16,September,16-17*,2020
2020-09-17,September,17-18*,2020
2020-09-19,September,19-20*,2020
2020-09-20,September,20-21*,2020
2020-09-21,September,21-22*,2020
2020-10-26,October,26-27,2020
2020-10-27,October,27-28,2020
2020-10-28,October,28-29,2020
2020-11-01,November,1-2,2020
2020-11-02,November,2-3,2020
2020-11-04,November,4-5,2020
2020-11-06,November,6-7,2020
2020-12-07,December,7-8*,2020
2020-12-08,December,8-9*,2020
2020-12-09,December,9-10*,2020
2020-12-12,December,12-13*,2020
2020-12-13,December,13-14*,2020
2020-12-14,December,14-15*,2020
2020-12-15,December,15-16*,2020
2020-12-17,December,17-18*,2020
